query,markup
капуста 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
бобс леденец 35 г,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
печенье 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
канатик 100%,"[(0, 7, 'B-TYPE'), (8, 12, 'B-PERCENT')]"
канатик 100 %,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 13, 'I-PERCENT')]"
estel краска 60 мл,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]"
махеевъ горчица 100 г,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"рулет 0,202 кг","[(0, 5, 'B-TYPE'), (6, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]"
натур пломбир мороженое 410г,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 23, 'B-TYPE'), (24, 28, 'B-VOLUME')]"
родные просторы батон 300г,"[(0, 6, 'B-BRAND'), (7, 15, 'I-BRAND'), (16, 21, 'B-TYPE'), (22, 26, 'B-VOLUME')]"
сваля сыр 45% 400г,"[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE'), (10, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME')]"
сваля сыр 45 % 400г,"[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE'), (10, 12, 'B-PERCENT'), (13, 14, 'I-PERCENT'), (15, 19, 'B-VOLUME')]"
судогодский молочный завод ряженка 4% 400г,"[(0, 11, 'B-BRAND'), (12, 20, 'I-BRAND'), (21, 26, 'I-BRAND'), (27, 34, 'B-TYPE'), (35, 37, 'B-PERCENT'), (38, 42, 'B-VOLUME')]"
судогодский молочный завод ряженка 4 % 400г,"[(0, 11, 'B-BRAND'), (12, 20, 'I-BRAND'), (21, 26, 'I-BRAND'), (27, 34, 'B-TYPE'), (35, 36, 'B-PERCENT'), (37, 38, 'I-PERCENT'), (39, 43, 'B-VOLUME')]"
ряженка 4% 500г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME')]"
ряженка 4 % 500г,"[(0, 7, 'B-TYPE'), (8, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-VOLUME')]"
мистраль каша 40г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
блокнот 60л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
био баланс 1% 270г,"[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME')]"
био баланс 1 % 270г,"[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 12, 'B-PERCENT'), (13, 14, 'I-PERCENT'), (15, 19, 'B-VOLUME')]"
toho бисер 5 г,"[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE'), (11, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME')]"
panasonic батарейка 1 шт,"[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE'), (20, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
сваля творог 5% 180г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 15, 'B-PERCENT'), (16, 20, 'B-VOLUME')]"
сваля творог 5 % 180г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 21, 'B-VOLUME')]"
uppetit паста 300 г,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE'), (14, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]"
колбаса 350Г,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME')]"
бабушкино лукошко пюре 100 г,"[(0, 9, 'B-BRAND'), (10, 17, 'I-BRAND'), (18, 22, 'B-TYPE'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]"
махеевъ джем 300Г,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 17, 'B-VOLUME')]"
уксус 9% 500г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT'), (9, 13, 'B-VOLUME')]"
уксус 9 % 500г,"[(0, 5, 'B-TYPE'), (6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT'), (10, 14, 'B-VOLUME')]"
кухмастер кетчуп 260г,"[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
тими конфеты 1КГ,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
"охота пиво 8.1% 0,45л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 15, 'B-PERCENT'), (16, 21, 'B-VOLUME')]"
"охота пиво 8.1 % 0,45л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 22, 'B-VOLUME')]"
макноф макароны 900 г,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"русская валюта водка 38% 0,25л","[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'B-TYPE'), (21, 24, 'B-PERCENT'), (25, 30, 'B-VOLUME')]"
"русская валюта водка 38 % 0,25л","[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'B-TYPE'), (21, 23, 'B-PERCENT'), (24, 25, 'I-PERCENT'), (26, 31, 'B-VOLUME')]"
navigator удлинитель 3г,"[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE'), (21, 23, 'B-VOLUME')]"
kupiec хлебцы 90г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
"ballantine's виски 40% 0,7л","[(0, 12, 'B-BRAND'), (13, 18, 'B-TYPE'), (19, 22, 'B-PERCENT'), (23, 27, 'B-VOLUME')]"
"ballantine's виски 40 % 0,7л","[(0, 12, 'B-BRAND'), (13, 18, 'B-TYPE'), (19, 21, 'B-PERCENT'), (22, 23, 'I-PERCENT'), (24, 28, 'B-VOLUME')]"
кдв конфеты 1кг,"[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE'), (12, 15, 'B-VOLUME')]"
зева бумага 4шт,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE'), (12, 15, 'B-VOLUME')]"
"простоквашино творог 0,1% 130г","[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-PERCENT'), (26, 30, 'B-VOLUME')]"
"простоквашино творог 0,1 % 130г","[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-PERCENT'), (25, 26, 'I-PERCENT'), (27, 31, 'B-VOLUME')]"
yamalube масло 1 л,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME')]"
gerber 130г,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME')]"
велком колбаса 500г,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
"parmalat молоко 3,5% 1л","[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE'), (16, 20, 'B-PERCENT'), (21, 23, 'B-VOLUME')]"
"parmalat молоко 3,5 % 1л","[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE'), (16, 19, 'B-PERCENT'), (20, 21, 'I-PERCENT'), (22, 24, 'B-VOLUME')]"
whiskas корм 85г,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
пряник 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
alpen gold 85г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME')]"
naturella прокладки 7шт,"[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE'), (20, 23, 'B-VOLUME')]"
walmer термокружка 300МЛ,"[(0, 6, 'B-BRAND'), (7, 18, 'B-TYPE'), (19, 24, 'B-VOLUME')]"
змея 100шт,"[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME')]"
epica йогурт 130г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 17, 'B-VOLUME')]"
"новотерская вода 0,5 Л","[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
блинчики 360г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
"простоквашино молоко 4,5% 0,93л","[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-PERCENT'), (26, 31, 'B-VOLUME')]"
"простоквашино молоко 4,5 % 0,93л","[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-PERCENT'), (25, 26, 'I-PERCENT'), (27, 32, 'B-VOLUME')]"
фитпарад каша 25Г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
масло 30МЛ,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"spring напиток 0,5л","[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
булочка 80г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
dove мыло 135г,"[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 14, 'B-VOLUME')]"
"coca cola напиток 0,5л","[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
дымов колбаса 70г,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
цефтриаксон порошок 1г,"[(0, 11, 'B-BRAND'), (12, 19, 'B-TYPE'), (20, 22, 'B-VOLUME')]"
брецель 70г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
joy удобрение 10г,"[(0, 3, 'B-BRAND'), (4, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
джумка вафли 37г,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
мороженое 80г,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
авача икра 90г,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME')]"
манго 100 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
степ батончик 44г,"[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
смесь 5г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME')]"
мираторг корм 190г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
discreet прокладки 20шт,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
махеевъ кетчуп 500г,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
"gorilla напиток 0,45 л","[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
"хаски водка 40% 0,5Л","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 15, 'B-PERCENT'), (16, 20, 'B-VOLUME')]"
"хаски водка 40 % 0,5Л","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 21, 'B-VOLUME')]"
фрау марта фасоль 310Г,"[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND'), (11, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
"lago вино 10,0% 0,75л","[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 15, 'B-PERCENT'), (16, 21, 'B-VOLUME')]"
"lago вино 10,0 % 0,75л","[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 22, 'B-VOLUME')]"
оружие 500мл,"[(0, 6, 'B-TYPE'), (7, 12, 'B-VOLUME')]"
ачим морская капуста сушеная 5г,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 20, 'I-TYPE'), (21, 28, 'I-TYPE'), (29, 31, 'B-VOLUME')]"
декор 35 Л,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
"миска 0,8 л","[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
febi жидкость 1л,"[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE'), (14, 16, 'B-VOLUME')]"
виталфарм спринцовка 35МЛ,"[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE'), (21, 25, 'B-VOLUME')]"
bifrut малина 320г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
ряженка 4% 500г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME')]"
ряженка 4 % 500г,"[(0, 7, 'B-TYPE'), (8, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-VOLUME')]"
londacolor 60 мл,"[(0, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 16, 'I-VOLUME')]"
балтийский берег сельдь 500г,"[(0, 10, 'B-BRAND'), (11, 16, 'I-BRAND'), (17, 23, 'B-TYPE'), (24, 28, 'B-VOLUME')]"
капитан сильвер батончик 50г,"[(0, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 24, 'B-TYPE'), (25, 28, 'B-VOLUME')]"
лаурон наполнитель 5л,"[(0, 6, 'B-BRAND'), (7, 18, 'B-TYPE'), (19, 21, 'B-VOLUME')]"
лель вода 1 л,"[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
skinlite маска 23мл,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
гамма гуашь 20 мл,"[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
"капуста 0,8кг","[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
tic tac 16 г,"[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
контейнеры 12ШТ,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
кашка минутка 43г,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 17, 'B-VOLUME')]"
сыр 100 г,"[(0, 3, 'B-TYPE'), (4, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]"
воронцовские сухарики 60г,"[(0, 12, 'B-BRAND'), (13, 21, 'B-TYPE'), (22, 25, 'B-VOLUME')]"
"полинадим капли 0,1% 10МЛ","[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE'), (16, 20, 'B-PERCENT'), (21, 25, 'B-VOLUME')]"
"полинадим капли 0,1 % 10МЛ","[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE'), (16, 19, 'B-PERCENT'), (20, 21, 'I-PERCENT'), (22, 26, 'B-VOLUME')]"
tytan клей 840 мл,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
слобода йогурт 5% 250Г,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE'), (15, 17, 'B-PERCENT'), (18, 22, 'B-VOLUME')]"
слобода йогурт 5 % 250Г,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE'), (15, 16, 'B-PERCENT'), (17, 18, 'I-PERCENT'), (19, 23, 'B-VOLUME')]"
lays чипсы 150г,"[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
"белый медведь пиво 1,3Л","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
стебель бамбука соус 280г,"[(0, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 20, 'B-TYPE'), (21, 25, 'B-VOLUME')]"
городок лагман 450 г,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
ricco майонез 67% 400мл,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE'), (14, 17, 'B-PERCENT'), (18, 23, 'B-VOLUME')]"
ricco майонез 67 % 400мл,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE'), (14, 16, 'B-PERCENT'), (17, 18, 'I-PERCENT'), (19, 24, 'B-VOLUME')]"
велком колбаса 500г,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
пончик 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
"monge корм 2,5 кг","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
"архыз вода 0,5л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
страна вкуса снек 70г,"[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 17, 'B-TYPE'), (18, 21, 'B-VOLUME')]"
морс 1л,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME')]"
сельдь 115г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"йогурт 0,33 л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
яшкино рулетики 160 г,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
блокнот 32л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
"здоровое меню напиток 0,25Л","[(0, 8, 'B-BRAND'), (9, 13, 'I-BRAND'), (14, 21, 'B-TYPE'), (22, 27, 'B-VOLUME')]"
геркулес суп 60г,"[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
stayer клинья 100шт,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 19, 'B-VOLUME')]"
савушкин творог 5% 350г,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE'), (16, 18, 'B-PERCENT'), (19, 23, 'B-VOLUME')]"
савушкин творог 5 % 350г,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE'), (16, 17, 'B-PERCENT'), (18, 19, 'I-PERCENT'), (20, 24, 'B-VOLUME')]"
marlboro сигареты 20шт,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
искушение планшет 50%,"[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE'), (18, 21, 'B-PERCENT')]"
искушение планшет 50 %,"[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE'), (18, 20, 'B-PERCENT'), (21, 22, 'I-PERCENT')]"
агромастер крупа 700г,"[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
семена 170г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
hatber карандаш 72шт,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE'), (16, 20, 'B-VOLUME')]"
alpen gold шоколад 90г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 18, 'B-TYPE'), (19, 22, 'B-VOLUME')]"
добрый сок 100% 2л,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE'), (11, 15, 'B-PERCENT'), (16, 18, 'B-VOLUME')]"
добрый сок 100 % 2л,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE'), (11, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 19, 'B-VOLUME')]"
valio йогурт 330г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 17, 'B-VOLUME')]"
"белый медведь молоко 2,5% 900л","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-PERCENT'), (26, 30, 'B-VOLUME')]"
"белый медведь молоко 2,5 % 900л","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-PERCENT'), (25, 26, 'I-PERCENT'), (27, 31, 'B-VOLUME')]"
махеев топинг 300г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
бабаевский шоколад 165г,"[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
snickers шоколад 81Г,"[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE'), (17, 20, 'B-VOLUME')]"
спартак шоколад 90г,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 19, 'B-VOLUME')]"
premial салфетки 15шт,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
ремкомплект 1г,"[(0, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
метоклопрамид ампулы 2мл,"[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-VOLUME')]"
пирог 120 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"оболонь пиво 4,5% 1,35л","[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 17, 'B-PERCENT'), (18, 23, 'B-VOLUME')]"
"оболонь пиво 4,5 % 1,35л","[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 16, 'B-PERCENT'), (17, 18, 'I-PERCENT'), (19, 24, 'B-VOLUME')]"
forsite печенье 220Г,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME')]"
макфа макароны 250 г,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
"агуша вода 0,33 л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
spaten 0.5 мл,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
mentos драже 37г,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
jr korner хлебцы 30 г,"[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 16, 'B-TYPE'), (17, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
soudal герметик 280 мл,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE'), (16, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
human being крем 50 мл,"[(0, 5, 'B-BRAND'), (6, 11, 'I-BRAND'), (12, 16, 'B-TYPE'), (17, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
сверло 3шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
любятово подушечки 175г,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
"wrigley's жевательная резинка 31,2г","[(0, 9, 'B-BRAND'), (10, 21, 'B-TYPE'), (22, 29, 'I-TYPE'), (30, 35, 'B-VOLUME')]"
томат 600Г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"ессентуки вода 1,5л","[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
черкизово сервелат 400г,"[(0, 9, 'B-BRAND'), (10, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
