sample;annotation
без педьмени;[(0, 3, 'O'), (4, 12, 'B-TYPE')]
melon;[(0, 5, 'B-TYPE')]
haas;[(0, 4, 'B-BRAND')]
милоко;[(0, 6, 'B-TYPE')]
mms;[(0, 3, 'B-BRAND')]
приправыч желат;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
праправыч желатин;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
припоавыч жулати;[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
прмправыч желат;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
идель;[(0, 5, 'B-BRAND')]
сок 2 литра яблочный;[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
сок 3 литра яблочный;[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')]
дроджди;[(0, 7, 'B-TYPE')]
энергить;[(0, 8, 'B-TYPE')]
miv;[(0, 3, 'B-BRAND')]
mivi;[(0, 4, 'B-BRAND')]
сгущенный молочн;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
сгущеный молочн;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
сгкщеный молочн;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
бумажнве платочки дл носа;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 25, 'O')]
бумвжнве платочки дл носа;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 25, 'O')]
чупа чупс;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
чкпа чкпс;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
гу;[(0, 2, 'O')]
зйнки;[(0, 5, 'O')]
фол;[(0, 3, 'O')]
raf;[(0, 3, 'B-BRAND')]
rafg;[(0, 4, 'B-BRAND')]
для котлет;[(0, 3, 'O'), (4, 10, 'B-TYPE')]
nemoloco;[(0, 8, 'B-BRAND')]
nmoloco;[(0, 7, 'B-BRAND')]
nemoloko;[(0, 8, 'B-BRAND')]
nemploko;[(0, 8, 'B-BRAND')]
шерба;[(0, 5, 'B-TYPE')]
buren club;[(0, 5, 'O'), (6, 10, 'O')]
рулет мясная ф;[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 14, 'O')]
женски нбо;[(0, 6, 'O'), (7, 10, 'O')]
bgr;[(0, 3, 'O')]
сыекла;[(0, 6, 'B-TYPE')]
сыеула;[(0, 6, 'B-TYPE')]
сыекда;[(0, 6, 'B-TYPE')]
свекда;[(0, 6, 'B-TYPE')]
свекл;[(0, 5, 'B-TYPE')]
сыинина;[(0, 7, 'B-TYPE')]
сыигина;[(0, 7, 'B-TYPE')]
саинина;[(0, 7, 'B-TYPE')]
свр плав;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]
свр плавл;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
свр плавле;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
coisine;[(0, 7, 'B-BRAND')]
coidine;[(0, 7, 'B-BRAND')]
coiaine;[(0, 7, 'B-BRAND')]
тыооожный;[(0, 9, 'B-TYPE')]
тыооожный;[(0, 9, 'B-TYPE')]
твородный;[(0, 9, 'B-TYPE')]
cmo;[(0, 3, 'O')]
ba houe;[(0, 2, 'O'), (3, 7, 'O')]
варенье малина;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
варенье клубника;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
вренье малина;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
ваоенье малина;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
производство ды;[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')]
производство;[(0, 12, 'B-BRAND')]
пооизводство;[(0, 12, 'B-BRAND')]
произыодство;[(0, 12, 'B-BRAND')]
производсво;[(0, 11, 'B-BRAND')]
масло ра;[(0, 5, 'B-TYPE'), (6, 8, 'O')]
sok;[(0, 3, 'B-TYPE')]
доьрый кола без сахара;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
дорый кола;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
добрый кла;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
малтна;[(0, 6, 'B-TYPE')]
малина;[(0, 6, 'B-TYPE')]
молина;[(0, 6, 'B-TYPE')]
иасло сли;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
мистер пропер для полов;[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 17, 'O'), (18, 23, 'O')]
мистер прпер;[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
мимтер пропер;[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
мистер пррпер;[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
сыр бе;[(0, 3, 'B-TYPE'), (4, 6, 'B-BRAND')]
сыр бел;[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
сыр беле;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
сыр белеб;[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]















