query,markup
naturella 7шт прокладки,"[(0, 9, 'B-BRAND'), (10, 13, 'B-VOLUME'), (14, 23, 'B-TYPE')]"
walmer 300МЛ термокружка,"[(0, 6, 'B-BRAND'), (7, 12, 'B-VOLUME'), (13, 24, 'B-TYPE')]"
змея 100шт,"[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME')]"
epica 130г йогурт,"[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 17, 'B-TYPE')]"
"вода новотерская 0,5 Л","[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
блинчики 360г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
"простоквашино молоко 4,5% 0,93л","[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-PERCENT'), (26, 31, 'B-VOLUME')]"
фитпарад 25Г каша,"[(0, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 17, 'B-TYPE')]"
30МЛ масло,"[(0, 4, 'B-VOLUME'), (5, 10, 'B-TYPE')]"
"spring 0,5л напиток","[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
80г булочка,"[(0, 3, 'B-VOLUME'), (4, 11, 'B-TYPE')]"
dove мыло 135г,"[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 14, 'B-VOLUME')]"
"coca cola 0,5л напиток","[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
дымов 70г колбаса,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 17, 'B-TYPE')]"
порошок 1г цефтриаксон,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 22, 'B-BRAND')]"
брецель 70г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
удобрение 10г joy,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME'), (14, 17, 'B-BRAND')]"
вафли 37г джумка,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 16, 'B-BRAND')]"
мороженое 80г,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
икра авача 90г,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 14, 'B-VOLUME')]"
100 г манго,"[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (6, 11, 'B-TYPE')]"
батончик 44г степ,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 17, 'B-BRAND')]"
смесь 5г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME')]"
мираторг корм 190г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
discreet 20шт прокладки,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 23, 'B-TYPE')]"
кетчуп 500г махеевъ,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 19, 'B-BRAND')]"
"gorilla напиток 0,45 л","[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
"хаски водка 0,5Л 40%","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 16, 'B-VOLUME'), (17, 20, 'B-PERCENT')]"
фасоль 310Г фрау марта,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 16, 'B-BRAND'), (17, 22, 'I-BRAND')]"
"вино 0,75л 10,0% lago","[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME'), (11, 16, 'B-PERCENT'), (17, 21, 'B-BRAND')]"
500мл оружие,"[(0, 5, 'B-VOLUME'), (6, 12, 'B-TYPE')]"
морская капуста сушеная 5г ачим,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 23, 'I-TYPE'), (24, 26, 'B-VOLUME'), (27, 31, 'B-BRAND')]"
декор 35 Л,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
"миска 0,8 л","[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
febi 1л жидкость,"[(0, 4, 'B-BRAND'), (5, 7, 'B-VOLUME'), (8, 16, 'B-TYPE')]"
спринцовка 35МЛ виталфарм,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME'), (16, 25, 'B-BRAND')]"
bifrut 320г малина,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 18, 'B-TYPE')]"
4% ряженка 500г,"[(0, 2, 'B-PERCENT'), (3, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
londacolor 60 мл,"[(0, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 16, 'I-VOLUME')]"
сельдь балтийский берег 500г,"[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND'), (18, 23, 'I-BRAND'), (24, 28, 'B-VOLUME')]"
батончик капитан сильвер 50г,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND'), (17, 24, 'I-BRAND'), (25, 28, 'B-VOLUME')]"
лаурон 5л наполнитель,"[(0, 6, 'B-BRAND'), (7, 9, 'B-VOLUME'), (10, 21, 'B-TYPE')]"
лель вода 1 л,"[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE'), (10, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
skinlite маска 23мл,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
гуашь гамма 20 мл,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND'), (12, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
"0,8кг капуста","[(0, 5, 'B-VOLUME'), (6, 13, 'B-TYPE')]"
tic tac 16 г,"[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
контейнеры 12ШТ,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
кашка минутка 43г,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 17, 'B-VOLUME')]"
100 г сыр,"[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (6, 9, 'B-TYPE')]"
воронцовские сухарики 60г,"[(0, 12, 'B-BRAND'), (13, 21, 'B-TYPE'), (22, 25, 'B-VOLUME')]"
"капли 0,1% полинадим 10МЛ","[(0, 5, 'B-TYPE'), (6, 10, 'B-PERCENT'), (11, 20, 'B-BRAND'), (21, 25, 'B-VOLUME')]"
tytan клей 840 мл,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
йогурт слобода 250Г 5%,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 19, 'B-VOLUME'), (20, 22, 'B-PERCENT')]"
lays 150г чипсы,"[(0, 4, 'B-BRAND'), (5, 9, 'B-VOLUME'), (10, 15, 'B-TYPE')]"
"белый медведь 1,3Л пиво","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-VOLUME'), (19, 23, 'B-TYPE')]"
соус 280г стебель бамбука,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]"
лагман городок 450 г,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
майонез 400мл 67% ricco,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME'), (14, 17, 'B-PERCENT'), (18, 23, 'B-BRAND')]"
велком колбаса 500г,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
пончик 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
"корм monge 2,5 кг","[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
"архыз 0,5л вода","[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 15, 'B-TYPE')]"
снек страна вкуса 70г,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 17, 'I-BRAND'), (18, 21, 'B-VOLUME')]"
морс 1л,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME')]"
сельдь 115г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"йогурт 0,33 л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
яшкино 160 г рулетики,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 21, 'B-TYPE')]"
блокнот 32л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
"здоровое меню 0,25Л напиток","[(0, 8, 'B-BRAND'), (9, 13, 'I-BRAND'), (14, 19, 'B-VOLUME'), (20, 27, 'B-TYPE')]"
геркулес суп 60г,"[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
клинья stayer 100шт,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 19, 'B-VOLUME')]"
савушкин 5% 350г творог,"[(0, 8, 'B-BRAND'), (9, 11, 'B-PERCENT'), (12, 16, 'B-VOLUME'), (17, 23, 'B-TYPE')]"
marlboro сигареты 20шт,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
планшет 50% искушение,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 21, 'B-BRAND')]"
крупа 700г агромастер,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 21, 'B-BRAND')]"
170г семена,"[(0, 4, 'B-VOLUME'), (5, 11, 'B-TYPE')]"
hatber 72шт карандаш,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 20, 'B-TYPE')]"
alpen gold шоколад 90г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 18, 'B-TYPE'), (19, 22, 'B-VOLUME')]"
сок добрый 2л 100%,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 18, 'B-PERCENT')]"
йогурт 330г valio,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 17, 'B-BRAND')]"
"белый медведь молоко 2,5% 900л","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-PERCENT'), (26, 30, 'B-VOLUME')]"
топинг махеев 300г,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 18, 'B-VOLUME')]"
шоколад бабаевский 165г,"[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND'), (19, 23, 'B-VOLUME')]"
шоколад 81Г snickers,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 20, 'B-BRAND')]"
шоколад спартак 90г,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 19, 'B-VOLUME')]"
premial салфетки 15шт,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
ремкомплект 1г,"[(0, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
метоклопрамид 2мл ампулы,"[(0, 13, 'B-BRAND'), (14, 17, 'B-VOLUME'), (18, 24, 'B-TYPE')]"
пирог 120 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"пиво 1,35л 4,5% оболонь","[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME'), (11, 15, 'B-PERCENT'), (16, 23, 'B-BRAND')]"
печенье 220Г forsite,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 20, 'B-BRAND')]"
макароны макфа 250 г,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
"агуша вода 0,33 л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
spaten 0.5 мл,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
mentos 37г драже,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 16, 'B-TYPE')]"
хлебцы 30 г jr korner,"[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 14, 'B-BRAND'), (15, 21, 'I-BRAND')]"
soudal герметик 280 мл,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE'), (16, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
крем human being 50 мл,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 16, 'I-BRAND'), (17, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
сверло 3шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
любятово подушечки 175г,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
"жевательная резинка wrigley's 31,2г","[(0, 11, 'B-TYPE'), (12, 19, 'I-TYPE'), (20, 29, 'B-BRAND'), (30, 35, 'B-VOLUME')]"
600Г томат,"[(0, 4, 'B-VOLUME'), (5, 10, 'B-TYPE')]"
"вода ессентуки 1,5л","[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND'), (15, 19, 'B-VOLUME')]"
сервелат черкизово 400г,"[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND'), (19, 23, 'B-VOLUME')]"
масло 4 л mobil,"[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME'), (10, 15, 'B-BRAND')]"
lowenbrau 1л пиво,"[(0, 9, 'B-BRAND'), (10, 12, 'B-VOLUME'), (13, 17, 'B-TYPE')]"
порошок 400 г капель,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 20, 'B-BRAND')]"
"джинсы 34, шт","[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
lm смазка 7574 шт,"[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE'), (10, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
прихлоп 1 шт слайм,"[(0, 7, 'B-BRAND'), (8, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME'), (13, 18, 'B-TYPE')]"
"первый вкус 1л 3,2% молоко","[(0, 6, 'B-BRAND'), (7, 11, 'I-BRAND'), (12, 14, 'B-VOLUME'), (15, 19, 'B-PERCENT'), (20, 26, 'B-TYPE')]"
maggi 10г бульон,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 16, 'B-TYPE')]"
cesar корм 20%,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-PERCENT')]"
ручка 5 шт,"[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 10, 'I-VOLUME')]"
увелка горох 80г,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
"burn напиток 0,449л","[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 19, 'B-VOLUME')]"
мячи 6 шт,"[(0, 4, 'B-TYPE'), (5, 6, 'B-VOLUME'), (7, 9, 'I-VOLUME')]"
сладонеж вафли 170г,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
"любимый 1,93л сок","[(0, 7, 'B-BRAND'), (8, 13, 'B-VOLUME'), (14, 17, 'B-TYPE')]"
соль 1кг,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME')]"
томское молоко 900мл тан 1%,"[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'B-VOLUME'), (21, 24, 'B-TYPE'), (25, 27, 'B-PERCENT')]"
rich 1Л нектар,"[(0, 4, 'B-BRAND'), (5, 7, 'B-VOLUME'), (8, 14, 'B-TYPE')]"
масло nissan 1л,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 15, 'B-VOLUME')]"
карты 54шт,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
1 кг яблоки,"[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME'), (5, 11, 'B-TYPE')]"
косметика 30088 шт,"[(0, 9, 'B-TYPE'), (10, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]"
хлебопек 400г хлеб,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 18, 'B-TYPE')]"
мармелад 200г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
простоквашино сырок 40 г,"[(0, 13, 'B-BRAND'), (14, 19, 'B-TYPE'), (20, 22, 'B-VOLUME'), (23, 24, 'I-VOLUME')]"
1кг гвозди,"[(0, 3, 'B-VOLUME'), (4, 10, 'B-TYPE')]"
шпроты 160г 5 морей,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 13, 'B-BRAND'), (14, 19, 'I-BRAND')]"
до встречи тархун 1.5л,"[(0, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
даниссимо 105г,"[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME')]"
"drive me энергетический напиток 0,5 л","[(0, 5, 'B-BRAND'), (6, 8, 'I-BRAND'), (9, 23, 'B-TYPE'), (24, 31, 'I-TYPE'), (32, 35, 'B-VOLUME'), (36, 37, 'I-VOLUME')]"
lays 150 г,"[(0, 4, 'B-BRAND'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
canon картридж 1 г,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME')]"
deluxe 60 мл краска,"[(0, 6, 'B-BRAND'), (7, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME'), (13, 19, 'B-TYPE')]"
бибер 100 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"el fresco лимонад 0,5л","[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
"растишка 2,5% 210г коктейль","[(0, 8, 'B-BRAND'), (9, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME'), (19, 27, 'B-TYPE')]"
"mars батончик 40,5г","[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE'), (14, 19, 'B-VOLUME')]"
