индейки охл.	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
уксуса botanica	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
талстовки	[(0, 9, 'B-TYPE')]
cerkizov	[(0, 8, 'O')]
мапша	[(0, 5, 'B-TYPE')]
фермерское	[(0, 10, 'B-TYPE')]
драмплинги	[(0, 10, 'B-TYPE')]
подсолнечнл	[(0, 11, 'B-TYPE')]
тортик шарлиз	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
перепелийные	[(0, 12, 'B-TYPE')]
пасты	[(0, 5, 'B-TYPE')]
aura	[(0, 4, 'B-BRAND')]
кальмаром	[(0, 9, 'B-TYPE')]
макаронч	[(0, 8, 'B-TYPE')]
майонеез	[(0, 8, 'B-TYPE')]
черноголовки	[(0, 12, 'B-TYPE')]
корзиночек криста	[(0, 10, 'B-TYPE'), (11, 17, 'B-BRAND')]
bombar	[(0, 6, 'B-BRAND')]
салчисон	[(0, 8, 'B-TYPE')]
мукау	[(0, 5, 'B-TYPE')]
экстра сахарный песок	[(0, 6, 'B-TYPE'), (7, 15, 'O'), (16, 21, 'O')]
посула	[(0, 6, 'B-TYPE')]
кукуруза в вакууме	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
клитка	[(0, 6, 'B-TYPE')]
вяленны	[(0, 7, 'B-TYPE')]
соус для фунчоза	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O')]
соевый	[(0, 6, 'B-TYPE')]
колотый горох	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
гречн	[(0, 5, 'B-TYPE')]
чесеок	[(0, 6, 'B-TYPE')]
трисеме	[(0, 7, 'B-TYPE')]
albeni	[(0, 6, 'B-BRAND')]
тортитья	[(0, 8, 'B-TYPE')]
блинная мука	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
мятные пряники	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
энергитический	[(0, 14, 'B-TYPE')]
пармещан	[(0, 8, 'B-TYPE')]
булочкм	[(0, 7, 'B-TYPE')]
крутец	[(0, 6, 'B-TYPE')]
хлеб лавина	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
горциц	[(0, 6, 'B-TYPE')]
сливуи	[(0, 6, 'B-TYPE')]
фруто няня сок	[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-TYPE')]
приправа для рассол	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
chapi	[(0, 5, 'B-BRAND')]
кезский	[(0, 7, 'B-BRAND')]
йогурт от ооо	[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 13, 'O')]
рулеьики	[(0, 8, 'B-TYPE')]
немллоко	[(0, 8, 'B-TYPE')]
твороженный сырок	[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
полуфобрикаты	[(0, 13, 'B-TYPE')]
таб. ke	[(0, 4, 'B-TYPE'), (5, 7, 'B-BRAND')]
халава	[(0, 6, 'B-TYPE')]
рафинированное	[(0, 14, 'B-TYPE')]
каравай карав	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
ананася	[(0, 7, 'B-TYPE')]
саслины	[(0, 7, 'B-TYPE')]
сосис. сво	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
apollo салатники	[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
хлеб для борща	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
масло сливочное 82	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 18, 'B-PERCENT')]
спортивные	[(0, 10, 'B-TYPE')]
феликс индейка в желе	[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 16, 'I-TYPE'), (17, 21, 'I-TYPE')]
малосольные	[(0, 11, 'B-TYPE')]
творобу	[(0, 7, 'B-TYPE')]
снежинки	[(0, 8, 'B-TYPE')]
адыгейски	[(0, 9, 'B-TYPE')]
хуус	[(0, 4, 'B-TYPE')]
крупв	[(0, 5, 'B-TYPE')]
шатры	[(0, 5, 'B-TYPE')]
очиститель salto	[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
тесто слоенное	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
деик	[(0, 4, 'O')]
капучинно	[(0, 9, 'B-TYPE')]
сухофрукт	[(0, 9, 'B-TYPE')]
паштет печеночный	[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]
лапшв	[(0, 5, 'B-TYPE')]
приправа для бульона	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
торт ва	[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE')]
шололад	[(0, 7, 'B-TYPE')]
буль	[(0, 4, 'B-TYPE')]
пмрожныео	[(0, 9, 'B-TYPE')]
шпикачки йол	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
ссосиски	[(0, 8, 'B-TYPE')]
ванинин	[(0, 7, 'B-TYPE')]
кешью	[(0, 5, 'B-TYPE')]
хлопья геркулес	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
таорожки	[(0, 8, 'B-TYPE')]
ааб	[(0, 3, 'O')]
двмовица	[(0, 8, 'B-TYPE')]
кефир большая кружка	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 20, 'I-BRAND')]
колбаски cherkizo	[(0, 8, 'B-TYPE'), (9, 17, 'B-BRAND')]
рыба хе	[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE')]
горница	[(0, 7, 'B-TYPE')]
оггурц	[(0, 6, 'B-TYPE')]
драже confi	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
сибхлеб тебе	[(0, 7, 'B-BRAND'), (8, 12, 'O')]
грибной соус	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
розовый	[(0, 7, 'B-TYPE')]
гранатовы	[(0, 9, 'B-TYPE')]
кхлеб	[(0, 5, 'B-TYPE')]
халва белли	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
прягники	[(0, 8, 'B-TYPE')]
газированная вода лечебно	[(0, 12, 'B-TYPE'), (13, 17, 'O'), (18, 25, 'O')]
крулья	[(0, 6, 'B-TYPE')]
лече	[(0, 4, 'B-TYPE')]
говядина охлажденна	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
кусочкт	[(0, 7, 'B-TYPE')]
сгущенный молоко	[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
шторка для ванны	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
плёнки	[(0, 6, 'B-TYPE')]
сместь	[(0, 6, 'B-TYPE')]
будочка с корицей	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
marta тостер	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
айс	[(0, 3, 'B-BRAND')]
сок фрукто няня	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
корм для крыс	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
семачк	[(0, 6, 'B-TYPE')]
десерт творожный	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
сиганы	[(0, 6, 'B-TYPE')]
иилка	[(0, 5, 'B-TYPE')]
сыр творожный vio	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 17, 'B-BRAND')]
xysi	[(0, 4, 'O')]
вйцо	[(0, 4, 'B-TYPE')]
трубочка	[(0, 8, 'B-TYPE')]
фигурные издел	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
булеа для гамбургер	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]
хлеб с куку	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
кксус	[(0, 5, 'B-TYPE')]
cleanic гигиеническ	[(0, 7, 'B-BRAND'), (8, 19, 'B-TYPE')]
майонезный	[(0, 10, 'B-TYPE')]
прочее молоко	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
корм для кошек purina one	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 21, 'B-BRAND'), (22, 25, 'I-BRAND')]
мерилен	[(0, 7, 'B-BRAND')]
оссиски	[(0, 7, 'B-TYPE')]
безлактозный	[(0, 12, 'B-TYPE')]
кросс	[(0, 5, 'B-TYPE')]
кофэ	[(0, 4, 'B-TYPE')]
клдбаса	[(0, 7, 'B-TYPE')]
шампунь chicco	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
kent таб	[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
корица тис	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
творог простоква	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
зелён	[(0, 5, 'B-TYPE')]
пачта	[(0, 5, 'B-TYPE')]
бринза	[(0, 6, 'B-TYPE')]
kotanyi перец	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
ваф	[(0, 3, 'B-TYPE')]
fruittel	[(0, 8, 'B-BRAND')]
фаршч	[(0, 5, 'B-TYPE')]
огурцы́	[(0, 7, 'B-TYPE')]
ттворрог	[(0, 8, 'B-TYPE')]
сегция	[(0, 6, 'B-TYPE')]
фрутяняня	[(0, 9, 'B-TYPE')]
галант зон	[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
гидрофильное	[(0, 12, 'B-TYPE')]
варенн	[(0, 6, 'B-TYPE')]
компотты	[(0, 8, 'B-TYPE')]
торнтицы	[(0, 8, 'B-TYPE')]
нерафинироввнное	[(0, 16, 'B-TYPE')]
конфеты вкусии польза	[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 21, 'O')]
слоенно	[(0, 7, 'B-TYPE')]
калбаски для жарки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
шоколдаки	[(0, 9, 'B-TYPE')]
горьевска кгф	[(0, 9, 'O'), (10, 13, 'O')]
хрусteam галет	[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
газированнач	[(0, 12, 'B-TYPE')]
для пола	[(0, 3, 'O'), (4, 8, 'O')]
bodyart дис	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
пасок	[(0, 5, 'B-TYPE')]
нумик варен	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
ивой нфильтрованное	[(0, 4, 'O'), (5, 19, 'O')]
емк капуста	[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]
пиццв	[(0, 5, 'B-TYPE')]
твороженый сыр	[(0, 10, 'B-TYPE'), (11, 14, 'I-TYPE')]
сливка	[(0, 6, 'B-TYPE')]
bohemia салатники	[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
блины с малиной	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
плесен	[(0, 6, 'B-TYPE')]
семепа	[(0, 6, 'B-TYPE')]
помидлр	[(0, 7, 'B-TYPE')]
gillet	[(0, 6, 'B-BRAND')]
аперит	[(0, 6, 'B-TYPE')]
яий	[(0, 3, 'B-TYPE')]
оладьи котмаркот	[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
порошк	[(0, 6, 'B-TYPE')]
киндер пингви	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
спльдь	[(0, 6, 'B-TYPE')]
горошшек	[(0, 8, 'B-TYPE')]
гарнец мук	[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
чашка nouvel	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
огурцы помидоры	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
картошшка	[(0, 9, 'B-TYPE')]
пышечка	[(0, 7, 'B-TYPE')]
пакеты для мусору	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
кувшины, графин	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
ку желаий	[(0, 2, 'O'), (3, 9, 'O')]
желен вареник	[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
чипсы кукурузные	[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
ма4ароны	[(0, 8, 'B-TYPE')]
оломоло	[(0, 7, 'B-TYPE')]
цветы	[(0, 5, 'B-TYPE')]
лхлеб	[(0, 5, 'B-TYPE')]
кактейли	[(0, 8, 'B-TYPE')]
семечцюки	[(0, 9, 'B-TYPE')]
пр!ст кисел	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
джин absol	[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
щетка salt	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
aro	[(0, 3, 'B-BRAND')]
пастилка cemoi	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
кабачу	[(0, 6, 'B-TYPE')]
клюквен	[(0, 7, 'B-TYPE')]
багет ржаной с чесноком	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 14, 'O'), (15, 23, 'O')]
пивной нефильтрованно	[(0, 6, 'B-TYPE'), (7, 21, 'I-TYPE')]
сырокрпченнй	[(0, 12, 'B-TYPE')]
чипсы 225 гр	[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME')]
недалеко майонез	[(0, 8, 'O'), (9, 16, 'B-TYPE')]
клюквенный	[(0, 10, 'B-TYPE')]
подсолничное	[(0, 12, 'B-TYPE')]
шоколоад	[(0, 8, 'B-TYPE')]
полуфабрикаты хлебобулочны	[(0, 13, 'B-TYPE'), (14, 26, 'I-TYPE')]
snock	[(0, 5, 'B-BRAND')]
кровян	[(0, 6, 'B-TYPE')]
hpy day	[(0, 3, 'O'), (4, 7, 'O')]
осветл	[(0, 6, 'B-TYPE')]
снежок кефи	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
paclan тряпка	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
колбаса сырокопчёная	[(0, 7, 'B-TYPE'), (8, 20, 'I-TYPE')]
торт3	[(0, 5, 'B-TYPE')]
шекола	[(0, 6, 'B-TYPE')]
kultl	[(0, 5, 'B-BRAND')]
паштетов	[(0, 8, 'B-TYPE')]
конструкт	[(0, 9, 'B-TYPE')]
колбас,	[(0, 7, 'B-TYPE')]
семеки	[(0, 6, 'B-TYPE')]
ультрапастеризованно	[(0, 20, 'B-TYPE')]
моложеное	[(0, 9, 'B-TYPE')]
осьмин	[(0, 6, 'B-TYPE')]
брюква	[(0, 6, 'B-TYPE')]
энергеьи	[(0, 8, 'B-TYPE')]
каотошка	[(0, 8, 'B-TYPE')]
семочки	[(0, 7, 'B-TYPE')]
краьоаые	[(0, 8, 'B-TYPE')]
пирожанные	[(0, 10, 'B-TYPE')]
ален	[(0, 4, 'B-BRAND')]
макароны для малышей	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
семена для рассады	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
jelly	[(0, 5, 'B-TYPE')]
ватркшка	[(0, 8, 'B-TYPE')]
сдобы батош	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
unikorn	[(0, 7, 'B-BRAND')]
тапинамбур	[(0, 10, 'B-TYPE')]
сгущеека	[(0, 8, 'B-TYPE')]
нагетцсы	[(0, 8, 'B-TYPE')]
тирамесу	[(0, 8, 'B-TYPE')]
салйнтки	[(0, 8, 'B-TYPE')]
творог б.ю.александро	[(0, 6, 'B-TYPE'), (7, 21, 'B-BRAND')]
mg-20	[(0, 5, 'O')]
тушёная	[(0, 7, 'B-TYPE')]
суфле в шоколаде	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]
минеральнаяц	[(0, 12, 'B-TYPE')]
греческтй	[(0, 9, 'B-TYPE')]
белизна	[(0, 7, 'B-BRAND')]
apte ботин	[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
chappi	[(0, 6, 'B-BRAND')]
халаль	[(0, 6, 'B-TYPE')]
фруттела	[(0, 8, 'B-BRAND')]
приправы.	[(0, 9, 'B-TYPE')]
юбка	[(0, 4, 'B-TYPE')]
салатница	[(0, 9, 'B-TYPE')]
клубник	[(0, 7, 'B-TYPE')]
фасоль9	[(0, 7, 'B-TYPE')]
кроликов охлажденные	[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]
сок яблок	[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
мармелади	[(0, 9, 'B-TYPE')]
обложка апплик	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
газированные напит	[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]
сыртаки	[(0, 7, 'B-TYPE')]
сокю	[(0, 4, 'B-TYPE')]
рыбные консервы	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
шоолдница	[(0, 9, 'O')]
соль каменная	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
обложек или	[(0, 7, 'B-TYPE'), (8, 11, 'O')]
баклажанв	[(0, 9, 'B-TYPE')]
прочее оборудваие	[(0, 6, 'O'), (7, 17, 'O')]
бумажынный	[(0, 10, 'B-TYPE')]
сыр 1000 озер	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
меллер	[(0, 6, 'B-BRAND')]
крупс	[(0, 5, 'B-TYPE')]
сахаи	[(0, 5, 'B-TYPE')]
ципоенок	[(0, 8, 'B-TYPE')]
сушил	[(0, 5, 'B-TYPE')]
мелков maybellin	[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
зажигалки	[(0, 9, 'B-TYPE')]
таорожое	[(0, 8, 'B-TYPE')]
корейка	[(0, 7, 'B-TYPE')]
ппльмени	[(0, 8, 'B-TYPE')]
рисрвая	[(0, 7, 'B-TYPE')]
лиомн	[(0, 5, 'B-TYPE')]
моллко	[(0, 6, 'B-TYPE')]
карамельные хлебцы	[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]
гринагро	[(0, 8, 'B-BRAND')]
смитанна	[(0, 8, 'B-TYPE')]
сметана станция молосная	[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 24, 'I-BRAND')]
горчицы	[(0, 7, 'B-TYPE')]
гепатоген	[(0, 9, 'B-TYPE')]
белок	[(0, 5, 'B-TYPE')]
mulini	[(0, 6, 'B-BRAND')]
ппряники	[(0, 8, 'B-TYPE')]
перец горо	[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
сом	[(0, 3, 'B-TYPE')]
бумага смоб	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
газировка 2 литра	[(0, 9, 'B-TYPE'), (10, 11, 'B-VOLUME'), (12, 17, 'I-VOLUME')]
масто	[(0, 5, 'B-TYPE')]
тендер гранат	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
перчат4и	[(0, 8, 'B-TYPE')]
зажигалки перекресто	[(0, 9, 'B-TYPE'), (10, 20, 'B-BRAND')]
катофель	[(0, 8, 'B-TYPE')]
тряпок hi	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
биойгурт	[(0, 8, 'B-TYPE')]
losk	[(0, 4, 'B-BRAND')]
иогрт	[(0, 5, 'B-TYPE')]
сок апельсиновый	[(0, 3, 'B-TYPE'), (4, 16, 'I-TYPE')]
свёкл	[(0, 5, 'B-TYPE')]
