sample;annotation
econta вилки;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta зубочист;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
econta зубочистк;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
econta зубочистки;[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
ecos шат;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
ecos шатр;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
elit-li;[(0, 7, 'O')]
elos;[(0, 4, 'B-BRAND')]
energ;[(0, 5, 'B-TYPE')]
energy;[(0, 6, 'B-TYPE')]
eos;[(0, 3, 'O')]
epoca;[(0, 5, 'B-BRAND')]
espeesso;[(0, 8, 'B-TYPE')]
fairi;[(0, 5, 'B-BRAND')]
fairyǰ;[(0, 6, 'B-BRAND')]
faity;[(0, 5, 'B-BRAND')]
famicollection;[(0, 14, 'O')]
fitn;[(0, 4, 'B-TYPE')]
fitne;[(0, 5, 'B-TYPE')]
fitnes;[(0, 6, 'B-TYPE')]
fresco же;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
fresh bar;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
fresh bar jelly;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND'), (10, 15, 'I-BRAND')]
fresko;[(0, 6, 'B-BRAND')]
fsherpric;[(0, 9, 'O')]
garnier;[(0, 7, 'B-BRAND')]
garnir;[(0, 6, 'B-TYPE')]
glade;[(0, 5, 'B-BRAND')]
glade саше;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
glob;[(0, 4, 'B-BRAND')]
gourme;[(0, 6, 'B-BRAND')]
green;[(0, 5, 'B-BRAND')]
green milk;[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
green ray;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
greenfi;[(0, 7, 'B-BRAND')]
greenfiel;[(0, 9, 'B-BRAND')]
greenfield;[(0, 10, 'B-BRAND')]
greenfiled;[(0, 10, 'B-BRAND')]
greenflend;[(0, 10, 'B-BRAND')]
grosse;[(0, 6, 'B-BRAND')]
hainz;[(0, 5, 'B-BRAND')]
hainze;[(0, 6, 'B-BRAND')]
hasbro погремуш;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
hasbro погремушк;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
hinz;[(0, 4, 'B-BRAND')]
hoghland;[(0, 8, 'B-BRAND')]
holls;[(0, 5, 'B-BRAND')]
hrtx;[(0, 4, 'O')]
icetea;[(0, 6, 'B-TYPE')]
ingn;[(0, 4, 'O')]
itl faiy;[(0, 3, 'O'), (4, 8, 'O')]
j7;[(0, 2, 'O')]
jelli;[(0, 5, 'B-BRAND')]
jevea;[(0, 5, 'B-BRAND')]
joga;[(0, 4, 'B-BRAND')]
juicy;[(0, 5, 'B-BRAND')]
jumex;[(0, 5, 'B-BRAND')]
kapi;[(0, 4, 'B-BRAND')]
kider;[(0, 5, 'B-BRAND')]
kotami;[(0, 6, 'B-BRAND')]
kotany;[(0, 6, 'B-BRAND')]
kotanyi васа;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
kotanyi васаб;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
kotanyi васаби;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
lac;[(0, 3, 'B-BRAND')]
lakalute;[(0, 8, 'B-BRAND')]
leibendorf;[(0, 10, 'B-BRAND')]
lemon;[(0, 5, 'B-TYPE')]
lenco;[(0, 5, 'B-BRAND')]
limon;[(0, 5, 'B-TYPE')]
limona;[(0, 6, 'B-TYPE')]
limonf;[(0, 6, 'B-TYPE')]
lir;[(0, 3, 'B-BRAND')]
lit energy;[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
lnd;[(1, 4, 'O')]
ls;[(0, 2, 'O')]
l’or;[(0, 4, 'B-BRAND')]
maaggi;[(0, 6, 'B-BRAND')]
mango;[(0, 5, 'B-TYPE')]
mccoffee;[(0, 8, 'B-BRAND')]
midor;[(0, 5, 'B-BRAND')]
midori;[(0, 6, 'B-BRAND')]
milk;[(0, 4, 'B-TYPE')]
milke;[(0, 5, 'B-TYPE')]
milkis;[(0, 6, 'B-TYPE')]
milkiv;[(0, 6, 'B-TYPE')]
milklk;[(0, 6, 'B-TYPE')]
milku;[(0, 5, 'B-TYPE')]
mlka;[(0, 4, 'B-TYPE')]
mox;[(0, 3, 'B-BRAND')]
mymuse;[(0, 6, 'B-BRAND')]
nartura;[(0, 7, 'B-BRAND')]
nele;[(0, 4, 'O')]
neo;[(0, 3, 'B-BRAND')]
nes;[(0, 3, 'B-BRAND')]
nestle же;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
nestoge;[(0, 7, 'B-BRAND')]
nke;[(0, 3, 'O')]
ofrel;[(0, 5, 'O')]
oolong;[(0, 6, 'B-TYPE')]
optioro;[(0, 7, 'B-BRAND')]
oroor;[(0, 5, 'O')]
papi;[(0, 4, 'B-BRAND')]
papstar н;[(0, 7, 'B-BRAND'), (8, 9, 'B-TYPE')]
parodontax;[(0, 10, 'B-BRAND')]
patmalat;[(0, 8, 'B-BRAND')]
pegigree;[(0, 8, 'B-BRAND')]
piazz;[(0, 5, 'B-BRAND')]
pikador;[(0, 7, 'B-BRAND')]
planto;[(0, 6, 'B-BRAND')]
pls em;[(0, 3, 'O'), (4, 6, 'O')]
pudin;[(0, 5, 'B-TYPE')]
pulp;[(0, 4, 'B-TYPE')]
puroast;[(0, 7, 'B-BRAND')]
ranrop;[(0, 6, 'O')]
rb;[(0, 2, 'O')]
rissoni;[(0, 7, 'B-BRAND')]
rowenta ф;[(0, 7, 'B-BRAND'), (8, 9, 'B-TYPE')]
ruzik;[(0, 5, 'B-BRAND')]
rw;[(0, 2, 'O')]
safeguard;[(0, 9, 'B-BRAND')]
samb;[(0, 4, 'B-TYPE')]
satra;[(0, 5, 'B-BRAND')]
senergeti;[(0, 9, 'B-BRAND')]
sensoden;[(0, 8, 'B-BRAND')]
sensodin;[(0, 8, 'B-BRAND')]
sensodine;[(0, 9, 'B-BRAND')]
sensoduyne;[(0, 10, 'B-BRAND')]
sensody;[(0, 7, 'B-BRAND')]
sensodyn;[(0, 8, 'B-BRAND')]
sensodyne;[(0, 9, 'B-BRAND')]
shau;[(0, 4, 'O')]
sif;[(0, 3, 'B-BRAND')]
silva чаш;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
silva чашк;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
silva чашки;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
sim-карта;[(0, 9, 'B-TYPE')]
sim-картой;[(0, 10, 'B-TYPE')]
sim-карты;[(0, 9, 'B-TYPE')]
sim-кртой;[(0, 9, 'B-TYPE')]
soko grande;[(0, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
sole;[(0, 4, 'B-BRAND')]
sula;[(0, 4, 'B-BRAND')]
supra ф;[(0, 5, 'B-BRAND'), (6, 7, 'B-TYPE')]
svia;[(0, 4, 'O')]
svip сов;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
svip сово;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
syeret;[(0, 6, 'O')]
tanpax;[(0, 6, 'B-BRAND')]
te ang;[(0, 2, 'O'), (3, 6, 'O')]
tees;[(0, 4, 'B-BRAND')]
thermos кто-нибудь;[(0, 7, 'B-BRAND'), (8, 18, 'O')]
toff;[(0, 4, 'B-BRAND')]
toffi;[(0, 5, 'B-BRAND')]
toffifee;[(0, 8, 'B-BRAND')]
tonic;[(0, 5, 'B-TYPE')]
torres бренд;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
torres бренди;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
toy;[(0, 3, 'B-BRAND')]
turbo;[(0, 5, 'B-BRAND')]
uangng;[(0, 6, 'O')]
unag;[(0, 4, 'B-BRAND')]
veg;[(0, 3, 'B-TYPE')]
vileda сов;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
vileda совк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
vilt;[(0, 4, 'B-BRAND')]
wolfthron;[(0, 9, 'B-BRAND')]
yaguar;[(0, 6, 'B-BRAND')]
zebratoys погремуш;[(0, 9, 'B-BRAND'), (10, 18, 'B-TYPE')]
zebratoys погремушк;[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE')]
zebratoys погремушка;[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE')]
zeva;[(0, 4, 'B-BRAND')]
zin;[(0, 3, 'B-BRAND')]
zлук;[(0, 4, 'B-TYPE')]
аблепиха;[(0, 8, 'B-TYPE')]
аблоки;[(0, 6, 'B-TYPE')]
абсе;[(0, 4, 'B-TYPE')]
абсен;[(0, 5, 'B-TYPE')]
абсент;[(0, 6, 'B-TYPE')]
абсент ас;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
абсент аст;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
абсент асто;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
авакад;[(0, 6, 'B-TYPE')]
авакада;[(0, 7, 'B-TYPE')]
авакадр;[(0, 7, 'B-TYPE')]
авркадо;[(0, 7, 'B-TYPE')]
аеленки;[(0, 7, 'B-TYPE')]
аельмени;[(0, 8, 'B-TYPE')]
аельмениг;[(0, 9, 'B-TYPE')]
аерчатки;[(0, 8, 'B-TYPE')]
азелит0х;[(0, 8, 'B-TYPE')]
аиа;[(0, 3, 'O')]
аиви;[(0, 4, 'B-TYPE')]
айа;[(0, 3, 'B-TYPE')]
айбе;[(0, 4, 'O')]
айва;[(0, 4, 'B-TYPE')]
айва например;[(0, 4, 'B-TYPE'), (5, 13, 'O')]
айскро;[(0, 6, 'B-TYPE')]
айх;[(0, 3, 'B-TYPE')]
айца;[(0, 4, 'B-TYPE')]
аквафор;[(0, 7, 'B-BRAND')]
акефир;[(0, 6, 'B-TYPE')]
аккумуляоы;[(0, 10, 'O')]
акрдамон;[(0, 8, 'B-TYPE')]
алмилк;[(0, 6, 'B-TYPE')]
алыч;[(0, 4, 'B-TYPE')]
алыча;[(0, 5, 'B-TYPE')]
альпийская;[(0, 10, 'B-TYPE')]
альпийский;[(0, 10, 'B-TYPE')]
альпийское;[(0, 10, 'B-TYPE')]
амсн;[(0, 4, 'O')]
ан;[(0, 2, 'O')]
анергетик;[(0, 9, 'B-TYPE')]
аннанасы;[(0, 8, 'B-TYPE')]
аотлеты;[(0, 7, 'B-TYPE')]
апльсины;[(0, 8, 'B-TYPE')]
апслы;[(0, 5, 'O')]
аральян;[(0, 7, 'O')]
аранки;[(0, 6, 'B-TYPE')]
арарат бренд;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
ареха;[(0, 5, 'B-TYPE')]
арехи;[(0, 5, 'B-TYPE')]
арешки;[(0, 6, 'B-TYPE')]
арйан;[(0, 5, 'B-TYPE')]
арокладки;[(0, 9, 'B-TYPE')]
арубзы;[(0, 6, 'B-TYPE')]
аршевые;[(0, 7, 'B-TYPE')]
асто абсе;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
асто абсен;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
атаг;[(0, 4, 'B-BRAND')]
атеты ясные;[(0, 5, 'O'), (6, 11, 'O')]
атлантика;[(0, 9, 'B-BRAND')]
аф;[(0, 2, 'O')]
ахелит;[(0, 6, 'B-TYPE')]
ахмад;[(0, 5, 'B-BRAND')]
ацедофильный;[(0, 12, 'B-TYPE')]
аыпечка;[(0, 7, 'B-TYPE')]
бады;[(0, 4, 'B-TYPE')]
бамбочка для ванны;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
банет;[(0, 5, 'B-BRAND')]
баржоми;[(0, 7, 'B-BRAND')]
бахрушин шпи;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
бахрушин шпик;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
ббагет;[(0, 6, 'B-TYPE')]
бееон;[(0, 5, 'B-TYPE')]
белй мвдь;[(0, 4, 'O'), (5, 9, 'O')]
беуон;[(0, 5, 'B-TYPE')]
бийогурт;[(0, 8, 'B-TYPE')]
билецное;[(0, 8, 'B-TYPE')]
битва;[(0, 5, 'B-TYPE')]
бифидок;[(0, 7, 'B-BRAND')]
бифил;[(0, 5, 'B-BRAND')]
блзука;[(0, 6, 'B-TYPE')]
блтнчики;[(0, 8, 'B-TYPE')]
бмй;[(0, 3, 'O')]
бмолакт;[(0, 7, 'B-TYPE')]
бобочки;[(0, 7, 'B-TYPE')]
бойлер;[(0, 6, 'B-TYPE')]
боклажан;[(0, 8, 'B-TYPE')]
боклажаны;[(0, 9, 'B-TYPE')]
болочки;[(0, 7, 'B-TYPE')]
бомбар;[(0, 6, 'B-BRAND')]
бона;[(0, 4, 'B-BRAND')]
бонаны;[(0, 6, 'B-TYPE')]
бонпа;[(0, 5, 'B-BRAND')]
боокколи;[(0, 8, 'B-TYPE')]
бптарейк;[(0, 8, 'B-TYPE')]
бптарейки;[(0, 9, 'B-TYPE')]
брелок;[(0, 6, 'B-TYPE')]
брен;[(0, 4, 'B-TYPE')]
бренд;[(0, 5, 'B-TYPE')]
бренди;[(0, 6, 'B-TYPE')]
бренди garli;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
бренди torr;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
бренди torre;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
бренди torres;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
бренди ас;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
бренди аст;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
бренди асто;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
бренди самс;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
бренди самсо;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
бренди самсон;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
бренли;[(0, 6, 'B-TYPE')]
брест-литовск ке;[(0, 13, 'B-BRAND'), (14, 16, 'B-TYPE')]
брошь;[(0, 5, 'B-TYPE')]
брянконфи;[(0, 9, 'B-BRAND')]
бтны;[(0, 4, 'O')]
буамгой;[(0, 7, 'B-TYPE')]
будьиени;[(0, 8, 'B-TYPE')]
буковки;[(0, 7, 'B-TYPE')]
бумжй подарочный;[(0, 5, 'O'), (6, 16, 'O')]
бура;[(0, 4, 'B-TYPE')]
бурат;[(0, 5, 'B-TYPE')]
бурата;[(0, 6, 'B-TYPE')]
буратт;[(0, 6, 'B-TYPE')]
буратта;[(0, 7, 'B-BRAND')]
буррато;[(0, 7, 'B-TYPE')]
буррито;[(0, 7, 'B-TYPE')]
бушидо;[(0, 6, 'B-BRAND')]
буьгур;[(0, 6, 'B-TYPE')]
буьон;[(0, 5, 'B-TYPE')]
бхлеб;[(0, 5, 'B-TYPE')]
бцмага;[(0, 6, 'B-TYPE')]
бынаны;[(0, 6, 'B-TYPE')]
ваенся;[(0, 6, 'O')]
ваентка;[(0, 7, 'B-TYPE')]
ваиные;[(0, 6, 'B-TYPE')]
вакуумный упаковщ;[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
варен-кпчне;[(0, 11, 'O')]
вариль;[(0, 6, 'B-TYPE')]
васа;[(0, 4, 'B-TYPE')]
васаб;[(0, 5, 'B-TYPE')]
васаби;[(0, 6, 'B-TYPE')]
васоби;[(0, 6, 'B-TYPE')]
вастэко козина;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
вастэко козинак;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
вастэко козинаки;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
вгоздика;[(0, 8, 'B-TYPE')]
веер;[(0, 4, 'B-TYPE')]
веерок;[(0, 6, 'B-TYPE')]
велиеосочные;[(0, 12, 'B-TYPE')]
веоспд;[(0, 6, 'O')]
веьчина;[(0, 7, 'B-TYPE')]
вжные салфетки;[(0, 5, 'O'), (6, 14, 'O')]
взанка;[(0, 6, 'B-TYPE')]
виеоград;[(0, 8, 'B-TYPE')]
виины охладенное;[(0, 5, 'O'), (6, 16, 'O')]
вилк;[(0, 4, 'B-TYPE')]
вилка;[(0, 5, 'B-TYPE')]
вилка дю;[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
вилка дюн;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
вилка дюни;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
вилка перекресто;[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]
вилка перекресток;[(0, 5, 'B-TYPE'), (6, 17, 'B-BRAND')]
вилки;[(0, 5, 'B-TYPE')]
вилки pacl;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
вилки pacla;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
вилки пр!;[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
вилки пр!с;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
вилки пр!ст;[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
вичина;[(0, 6, 'B-TYPE')]
вкуный;[(1, 7, 'O')]
вленая ыб;[(0, 6, 'O'), (7, 9, 'O')]
вмед;[(0, 4, 'B-TYPE')]
внили;[(0, 5, 'B-TYPE')]
восточный шпи;[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
враеники;[(0, 8, 'B-TYPE')]
все для выпечки;[(0, 3, 'O'), (4, 7, 'O'), (8, 15, 'O')]
всулугуни;[(0, 9, 'B-TYPE')]
вэнергетик;[(0, 10, 'B-TYPE')]
вяленойрб;[(0, 9, 'O')]
вятич тебе;[(0, 5, 'B-BRAND'), (6, 10, 'O')]
гайкеверты;[(0, 10, 'B-TYPE')]
гайковер;[(0, 8, 'B-TYPE')]
гайковерты;[(0, 10, 'B-TYPE')]
галантеейные асессуары;[(0, 12, 'O'), (13, 22, 'O')]
гампиньоны;[(0, 10, 'B-TYPE')]
гампьньоны;[(0, 10, 'B-TYPE')]
гардеробн;[(0, 9, 'B-TYPE')]
гардеробные;[(0, 11, 'B-TYPE')]
гартеробные;[(0, 11, 'B-TYPE')]
гауд;[(0, 4, 'B-BRAND')]
гваздика;[(0, 8, 'B-TYPE')]
ггранатовый;[(0, 11, 'B-TYPE')]
гекулес;[(0, 7, 'B-TYPE')]
гепатоген;[(0, 9, 'B-TYPE')]
гиатоген;[(0, 8, 'B-TYPE')]
гиряица;[(0, 7, 'B-TYPE')]
глинтвейн;[(0, 9, 'B-TYPE')]
глис;[(0, 4, 'B-TYPE')]
глия;[(0, 4, 'O')]
глухаря;[(0, 7, 'B-TYPE')]
говайская;[(0, 9, 'B-TYPE')]
гоенки;[(0, 6, 'B-TYPE')]
гозированая;[(0, 11, 'B-TYPE')]
гозировка;[(0, 9, 'B-TYPE')]
гозировке;[(0, 9, 'B-TYPE')]
гоколад;[(0, 7, 'B-TYPE')]
гоколадка;[(0, 9, 'B-TYPE')]
гоколадки;[(0, 9, 'B-TYPE')]
гомогенизированн;[(0, 16, 'B-TYPE')]
гомогенизированные;[(0, 18, 'B-TYPE')]
гомоенизированные;[(0, 17, 'B-TYPE')]
гоох;[(0, 4, 'B-TYPE')]
гопчица;[(0, 7, 'B-TYPE')]
горячая кружка;[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
гпиль;[(0, 5, 'B-TYPE')]
гпинат;[(0, 6, 'B-TYPE')]
гр4ческрй;[(0, 9, 'B-TYPE')]
грбы;[(0, 4, 'B-TYPE')]
грлубцы;[(0, 7, 'B-TYPE')]
грруши;[(0, 6, 'B-TYPE')]
гтечка;[(0, 6, 'B-TYPE')]
гтиошек;[(0, 7, 'B-TYPE')]
губчатая;[(0, 8, 'B-TYPE')]
губчатые;[(0, 8, 'B-TYPE')]
гур;[(0, 3, 'B-TYPE')]
гуриме;[(0, 6, 'B-TYPE')]
гурме для кошек;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
гурмет;[(0, 6, 'B-TYPE')]
гурье;[(0, 5, 'B-TYPE')]
гущенка;[(0, 7, 'B-TYPE')]
гущёнка;[(0, 7, 'B-TYPE')]
гущёнкв;[(0, 7, 'B-TYPE')]
дак для волос;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
дампл;[(0, 5, 'B-TYPE')]
дамплин;[(0, 7, 'B-TYPE')]
дамплинг;[(0, 8, 'B-TYPE')]
дамплинги;[(0, 9, 'B-TYPE')]
дамплинши;[(0, 9, 'B-TYPE')]
дарено-копченая;[(0, 15, 'B-TYPE')]
двмовица;[(0, 8, 'B-TYPE')]
дентярное;[(0, 9, 'B-TYPE')]
депешка с свром;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
димонад;[(0, 7, 'B-TYPE')]
димонаж;[(0, 7, 'B-TYPE')]
диолакт;[(0, 7, 'B-TYPE')]
диптон;[(0, 6, 'B-TYPE')]
длапша;[(0, 6, 'B-TYPE')]
длук;[(0, 4, 'B-TYPE')]
для ванны;[(0, 3, 'O'), (4, 9, 'O')]
для мвтья посуды;[(0, 3, 'O'), (4, 9, 'O'), (10, 16, 'O')]
для мытья стёкол;[(0, 3, 'O'), (4, 9, 'O'), (10, 16, 'O')]
добзики;[(0, 7, 'B-TYPE')]
драники;[(0, 7, 'B-TYPE')]
дранисимо;[(0, 9, 'B-TYPE')]
дранники;[(0, 8, 'B-TYPE')]
дримасы;[(0, 7, 'B-TYPE')]
дрржжи;[(0, 6, 'B-TYPE')]
дурлг, ита;[(0, 6, 'O'), (7, 10, 'O')]
душ;[(0, 3, 'B-TYPE')]
дыбка;[(0, 5, 'B-TYPE')]
ева;[(0, 3, 'B-BRAND')]
европром;[(0, 8, 'B-BRAND')]
еколбаса;[(0, 8, 'B-TYPE')]
ектарины;[(0, 8, 'B-TYPE')]
екфир;[(0, 5, 'B-TYPE')]
елень;[(0, 5, 'B-TYPE')]
ели;[(0, 3, 'O')]
емян;[(1, 5, 'O')]
ереветки;[(0, 8, 'B-TYPE')]
есентуки;[(0, 8, 'B-TYPE')]
есентукии;[(0, 9, 'B-TYPE')]
есенутки;[(0, 8, 'B-TYPE')]
есеньуки;[(0, 8, 'B-TYPE')]
еуоиное;[(0, 7, 'B-TYPE')]
жаачки;[(0, 6, 'B-TYPE')]
жапчка;[(0, 6, 'B-TYPE')]
жарковье;[(0, 8, 'B-TYPE')]
жаркое;[(0, 6, 'B-TYPE')]
жачка;[(0, 5, 'B-TYPE')]
жвательная;[(0, 10, 'B-TYPE')]
жеаачка;[(0, 7, 'B-TYPE')]
жеыачка;[(0, 7, 'B-TYPE')]
жимолость;[(0, 9, 'B-TYPE')]
жимолось;[(0, 8, 'B-TYPE')]
жир;[(0, 3, 'B-TYPE')]
жиро;[(0, 4, 'B-TYPE')]
жироу;[(0, 5, 'B-TYPE')]
жироуд;[(0, 6, 'B-TYPE')]
жироуда;[(0, 7, 'B-TYPE')]
жироудал;[(0, 8, 'B-TYPE')]
жироудали;[(0, 9, 'B-TYPE')]
жироудалите;[(0, 11, 'B-TYPE')]
жироудалителб;[(0, 13, 'B-TYPE')]
жироудалитель;[(0, 13, 'B-TYPE')]
жк;[(0, 2, 'O')]
жквачка;[(0, 7, 'B-TYPE')]
жонат;[(0, 5, 'B-TYPE')]
жребра;[(0, 6, 'B-TYPE')]
жрунал;[(0, 6, 'B-TYPE')]
жывачка;[(0, 7, 'B-TYPE')]
заготовка для пиццы;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
заготовки для пельмений;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 23, 'O')]
заготовки для пиццы;[(0, 9, 'B-TYPE'), (10, 13, 'O'), (14, 19, 'O')]
засыпашка;[(0, 9, 'B-TYPE')]
звочка;[(0, 6, 'B-TYPE')]
зеелень;[(0, 7, 'B-TYPE')]
зеьлен;[(0, 6, 'B-TYPE')]
зеььц;[(0, 5, 'B-TYPE')]
злеб;[(0, 4, 'B-TYPE')]
злебец;[(0, 6, 'B-TYPE')]
злебцы;[(0, 6, 'B-TYPE')]
злива;[(0, 5, 'B-TYPE')]
знергети;[(0, 8, 'B-TYPE')]
