query,markup
горчица 100 г махеевъ,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 21, 'B-BRAND')]"
"рулет 0,202 кг","[(0, 5, 'B-TYPE'), (6, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]"
натур пломбир 410г мороженое,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-VOLUME'), (19, 28, 'B-TYPE')]"
батон родные просторы 300г,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 21, 'I-BRAND'), (22, 26, 'B-VOLUME')]"
сваля 400г сыр 45%,"[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 14, 'B-TYPE'), (15, 18, 'B-PERCENT')]"
сваля 400г сыр 45 %,"[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 14, 'B-TYPE'), (15, 17, 'B-PERCENT'), (18, 19, 'I-PERCENT')]"
судогодский молочный завод ряженка 400г 4%,"[(0, 11, 'B-BRAND'), (12, 20, 'I-BRAND'), (21, 26, 'I-BRAND'), (27, 34, 'B-TYPE'), (35, 39, 'B-VOLUME'), (40, 42, 'B-PERCENT')]"
судогодский молочный завод ряженка 400г 4 %,"[(0, 11, 'B-BRAND'), (12, 20, 'I-BRAND'), (21, 26, 'I-BRAND'), (27, 34, 'B-TYPE'), (35, 39, 'B-VOLUME'), (40, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]"
ряженка 4% 500г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME')]"
ряженка 4 % 500г,"[(0, 7, 'B-TYPE'), (8, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-VOLUME')]"
каша мистраль 40г,"[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
блокнот 60л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
био баланс 1% 270г,"[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME')]"
био баланс 1 % 270г,"[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 12, 'B-PERCENT'), (13, 14, 'I-PERCENT'), (15, 19, 'B-VOLUME')]"
бисер toho 5 г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND'), (11, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME')]"
батарейка 1 шт panasonic,"[(0, 9, 'B-TYPE'), (10, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 24, 'B-BRAND')]"
творог 5% сваля 180г,"[(0, 6, 'B-TYPE'), (7, 9, 'B-PERCENT'), (10, 15, 'B-BRAND'), (16, 20, 'B-VOLUME')]"
творог 5 % сваля 180г,"[(0, 6, 'B-TYPE'), (7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT'), (11, 16, 'B-BRAND'), (17, 21, 'B-VOLUME')]"
паста 300 г uppetit,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 19, 'B-BRAND')]"
колбаса 350Г,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME')]"
пюре бабушкино лукошко 100 г,"[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND'), (15, 22, 'I-BRAND'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]"
махеевъ 300Г джем,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 17, 'B-TYPE')]"
уксус 500г 9%,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 13, 'B-PERCENT')]"
уксус 500г 9 %,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 12, 'B-PERCENT'), (13, 14, 'I-PERCENT')]"
кухмастер 260г кетчуп,"[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME'), (15, 21, 'B-TYPE')]"
тими конфеты 1КГ,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
"охота 8.1% пиво 0,45л","[(0, 5, 'B-BRAND'), (6, 10, 'B-PERCENT'), (11, 15, 'B-TYPE'), (16, 21, 'B-VOLUME')]"
"охота 8.1 % пиво 0,45л","[(0, 5, 'B-BRAND'), (6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-TYPE'), (17, 22, 'B-VOLUME')]"
макароны макноф 900 г,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"русская валюта 0,25л водка 38%","[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'B-VOLUME'), (21, 26, 'B-TYPE'), (27, 30, 'B-PERCENT')]"
"русская валюта 0,25л водка 38 %","[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'B-VOLUME'), (21, 26, 'B-TYPE'), (27, 29, 'B-PERCENT'), (30, 31, 'I-PERCENT')]"
navigator удлинитель 3г,"[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE'), (21, 23, 'B-VOLUME')]"
хлебцы 90г kupiec,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 17, 'B-BRAND')]"
"ballantine's 0,7л виски 40%","[(0, 12, 'B-BRAND'), (13, 17, 'B-VOLUME'), (18, 23, 'B-TYPE'), (24, 27, 'B-PERCENT')]"
"ballantine's 0,7л виски 40 %","[(0, 12, 'B-BRAND'), (13, 17, 'B-VOLUME'), (18, 23, 'B-TYPE'), (24, 26, 'B-PERCENT'), (27, 28, 'I-PERCENT')]"
кдв конфеты 1кг,"[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE'), (12, 15, 'B-VOLUME')]"
бумага зева 4шт,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 15, 'B-VOLUME')]"
"творог 130г 0,1% простоквашино","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 16, 'B-PERCENT'), (17, 30, 'B-BRAND')]"
"творог 130г 0,1 % простоквашино","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 15, 'B-PERCENT'), (16, 17, 'I-PERCENT'), (18, 31, 'B-BRAND')]"
масло yamalube 1 л,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME')]"
gerber 130г,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME')]"
колбаса велком 500г,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND'), (15, 19, 'B-VOLUME')]"
"молоко 1л 3,5% parmalat","[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 14, 'B-PERCENT'), (15, 23, 'B-BRAND')]"
"молоко 1л 3,5 % parmalat","[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 13, 'B-PERCENT'), (14, 15, 'I-PERCENT'), (16, 24, 'B-BRAND')]"
whiskas корм 85г,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
пряник 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
alpen gold 85г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME')]"
прокладки naturella 7шт,"[(0, 9, 'B-TYPE'), (10, 19, 'B-BRAND'), (20, 23, 'B-VOLUME')]"
walmer 300МЛ термокружка,"[(0, 6, 'B-BRAND'), (7, 12, 'B-VOLUME'), (13, 24, 'B-TYPE')]"
змея 100шт,"[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME')]"
йогурт 130г epica,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 17, 'B-BRAND')]"
"новотерская вода 0,5 Л","[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
блинчики 360г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
"молоко простоквашино 4,5% 0,93л","[(0, 6, 'B-TYPE'), (7, 20, 'B-BRAND'), (21, 25, 'B-PERCENT'), (26, 31, 'B-VOLUME')]"
"молоко простоквашино 4,5 % 0,93л","[(0, 6, 'B-TYPE'), (7, 20, 'B-BRAND'), (21, 24, 'B-PERCENT'), (25, 26, 'I-PERCENT'), (27, 32, 'B-VOLUME')]"
фитпарад каша 25Г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
масло 30МЛ,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"spring напиток 0,5л","[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
булочка 80г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
мыло dove 135г,"[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 14, 'B-VOLUME')]"
"напиток 0,5л coca cola","[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 17, 'B-BRAND'), (18, 22, 'I-BRAND')]"
колбаса дымов 70г,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
цефтриаксон 1г порошок,"[(0, 11, 'B-BRAND'), (12, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
брецель 70г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
joy 10г удобрение,"[(0, 3, 'B-BRAND'), (4, 7, 'B-VOLUME'), (8, 17, 'B-TYPE')]"
вафли 37г джумка,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 16, 'B-BRAND')]"
мороженое 80г,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
авача икра 90г,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME')]"
манго 100 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
батончик 44г степ,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 17, 'B-BRAND')]"
смесь 5г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME')]"
мираторг 190г корм,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 18, 'B-TYPE')]"
discreet 20шт прокладки,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 23, 'B-TYPE')]"
кетчуп махеевъ 500г,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 19, 'B-VOLUME')]"
"gorilla напиток 0,45 л","[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]"
"хаски водка 40% 0,5Л","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 15, 'B-PERCENT'), (16, 20, 'B-VOLUME')]"
"хаски водка 40 % 0,5Л","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 21, 'B-VOLUME')]"
фрау марта фасоль 310Г,"[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND'), (11, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
"lago 0,75л вино 10,0%","[(0, 4, 'B-BRAND'), (5, 10, 'B-VOLUME'), (11, 15, 'B-TYPE'), (16, 21, 'B-PERCENT')]"
"lago 0,75л вино 10,0 %","[(0, 4, 'B-BRAND'), (5, 10, 'B-VOLUME'), (11, 15, 'B-TYPE'), (16, 20, 'B-PERCENT'), (21, 22, 'I-PERCENT')]"
оружие 500мл,"[(0, 6, 'B-TYPE'), (7, 12, 'B-VOLUME')]"
морская капуста сушеная 5г ачим,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 23, 'I-TYPE'), (24, 26, 'B-VOLUME'), (27, 31, 'B-BRAND')]"
декор 35 Л,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
"миска 0,8 л","[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
жидкость febi 1л,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND'), (14, 16, 'B-VOLUME')]"
виталфарм спринцовка 35МЛ,"[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE'), (21, 25, 'B-VOLUME')]"
малина 320г bifrut,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
ряженка 4% 500г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME')]"
ряженка 4 % 500г,"[(0, 7, 'B-TYPE'), (8, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-VOLUME')]"
londacolor 60 мл,"[(0, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 16, 'I-VOLUME')]"
балтийский берег сельдь 500г,"[(0, 10, 'B-BRAND'), (11, 16, 'I-BRAND'), (17, 23, 'B-TYPE'), (24, 28, 'B-VOLUME')]"
капитан сильвер 50г батончик,"[(0, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 19, 'B-VOLUME'), (20, 28, 'B-TYPE')]"
лаурон наполнитель 5л,"[(0, 6, 'B-BRAND'), (7, 18, 'B-TYPE'), (19, 21, 'B-VOLUME')]"
вода лель 1 л,"[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
skinlite 23мл маска,"[(0, 8, 'B-BRAND'), (9, 13, 'B-VOLUME'), (14, 19, 'B-TYPE')]"
гуашь 20 мл гамма,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 17, 'B-BRAND')]"
"капуста 0,8кг","[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
tic tac 16 г,"[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
контейнеры 12ШТ,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
кашка минутка 43г,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 17, 'B-VOLUME')]"
сыр 100 г,"[(0, 3, 'B-TYPE'), (4, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]"
сухарики 60г воронцовские,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 25, 'B-BRAND')]"
"капли 10МЛ 0,1% полинадим","[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 15, 'B-PERCENT'), (16, 25, 'B-BRAND')]"
"капли 10МЛ 0,1 % полинадим","[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 26, 'B-BRAND')]"
tytan клей 840 мл,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
слобода 5% 250Г йогурт,"[(0, 7, 'B-BRAND'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME'), (16, 22, 'B-TYPE')]"
слобода 5 % 250Г йогурт,"[(0, 7, 'B-BRAND'), (8, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT'), (12, 16, 'B-VOLUME'), (17, 23, 'B-TYPE')]"
чипсы 150г lays,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 15, 'B-BRAND')]"
"белый медведь 1,3Л пиво","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-VOLUME'), (19, 23, 'B-TYPE')]"
соус стебель бамбука 280г,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 20, 'I-BRAND'), (21, 25, 'B-VOLUME')]"
городок 450 г лагман,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 20, 'B-TYPE')]"
ricco 400мл 67% майонез,"[(0, 5, 'B-BRAND'), (6, 11, 'B-VOLUME'), (12, 15, 'B-PERCENT'), (16, 23, 'B-TYPE')]"
ricco 400мл 67 % майонез,"[(0, 5, 'B-BRAND'), (6, 11, 'B-VOLUME'), (12, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT'), (17, 24, 'B-TYPE')]"
велком 500г колбаса,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
пончик 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
"monge корм 2,5 кг","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
"архыз вода 0,5л","[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
снек 70г страна вкуса,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 15, 'B-BRAND'), (16, 21, 'I-BRAND')]"
морс 1л,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME')]"
сельдь 115г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"йогурт 0,33 л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
яшкино 160 г рулетики,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 21, 'B-TYPE')]"
блокнот 32л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
"напиток здоровое меню 0,25Л","[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND'), (17, 21, 'I-BRAND'), (22, 27, 'B-VOLUME')]"
суп 60г геркулес,"[(0, 3, 'B-TYPE'), (4, 7, 'B-VOLUME'), (8, 16, 'B-BRAND')]"
stayer клинья 100шт,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 19, 'B-VOLUME')]"
творог савушкин 350г 5%,"[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND'), (16, 20, 'B-VOLUME'), (21, 23, 'B-PERCENT')]"
творог савушкин 350г 5 %,"[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND'), (16, 20, 'B-VOLUME'), (21, 22, 'B-PERCENT'), (23, 24, 'I-PERCENT')]"
marlboro сигареты 20шт,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
планшет 50% искушение,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 21, 'B-BRAND')]"
планшет 50 % искушение,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT'), (13, 22, 'B-BRAND')]"
агромастер крупа 700г,"[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
семена 170г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
карандаш 72шт hatber,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME'), (14, 20, 'B-BRAND')]"
alpen gold 90г шоколад,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
сок 100% 2л добрый,"[(0, 3, 'B-TYPE'), (4, 8, 'B-PERCENT'), (9, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
сок 100 % 2л добрый,"[(0, 3, 'B-TYPE'), (4, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT'), (10, 12, 'B-VOLUME'), (13, 19, 'B-BRAND')]"
valio 330г йогурт,"[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 17, 'B-TYPE')]"
"белый медведь молоко 900л 2,5%","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-VOLUME'), (26, 30, 'B-PERCENT')]"
"белый медведь молоко 900л 2,5 %","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 20, 'B-TYPE'), (21, 25, 'B-VOLUME'), (26, 29, 'B-PERCENT'), (30, 31, 'I-PERCENT')]"
махеев топинг 300г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
шоколад бабаевский 165г,"[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND'), (19, 23, 'B-VOLUME')]"
шоколад 81Г snickers,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 20, 'B-BRAND')]"
спартак 90г шоколад,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
салфетки 15шт premial,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME'), (14, 21, 'B-BRAND')]"
ремкомплект 1г,"[(0, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
метоклопрамид ампулы 2мл,"[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-VOLUME')]"
пирог 120 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"пиво оболонь 1,35л 4,5%","[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 18, 'B-VOLUME'), (19, 23, 'B-PERCENT')]"
"пиво оболонь 1,35л 4,5 %","[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 18, 'B-VOLUME'), (19, 22, 'B-PERCENT'), (23, 24, 'I-PERCENT')]"
forsite 220Г печенье,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 20, 'B-TYPE')]"
макфа 250 г макароны,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 20, 'B-TYPE')]"
"агуша 0,33 л вода","[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 17, 'B-TYPE')]"
spaten 0.5 мл,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
драже mentos 37г,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 16, 'B-VOLUME')]"
jr korner хлебцы 30 г,"[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 16, 'B-TYPE'), (17, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
soudal 280 мл герметик,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME'), (14, 22, 'B-TYPE')]"
human being крем 50 мл,"[(0, 5, 'B-BRAND'), (6, 11, 'I-BRAND'), (12, 16, 'B-TYPE'), (17, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
сверло 3шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
любятово подушечки 175г,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
"жевательная резинка wrigley's 31,2г","[(0, 11, 'B-TYPE'), (12, 19, 'I-TYPE'), (20, 29, 'B-BRAND'), (30, 35, 'B-VOLUME')]"
томат 600Г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"ессентуки вода 1,5л","[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
сервелат черкизово 400г,"[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND'), (19, 23, 'B-VOLUME')]"
