query,markup
корм whiskas 85г,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 16, 'B-VOLUME')]"
пряник 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
alpen gold 85г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME')]"
naturella прокладки 7шт,"[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE'), (20, 23, 'B-VOLUME')]"
walmer термокружка 300МЛ,"[(0, 6, 'B-BRAND'), (7, 18, 'B-TYPE'), (19, 24, 'B-VOLUME')]"
змея 100шт,"[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME')]"
йогурт 130г epica,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 17, 'B-BRAND')]"
"вода 0,5 Л новотерская","[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME'), (11, 22, 'B-BRAND')]"
блинчики 360г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
"простоквашино 4,5% молоко 0,93л","[(0, 13, 'B-BRAND'), (14, 18, 'B-PERCENT'), (19, 25, 'B-TYPE'), (26, 31, 'B-VOLUME')]"
каша 25Г фитпарад,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 17, 'B-BRAND')]"
масло 30МЛ,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"spring напиток 0,5л","[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
булочка 80г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
мыло dove 135г,"[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 14, 'B-VOLUME')]"
"coca cola 0,5л напиток","[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
колбаса дымов 70г,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
порошок цефтриаксон 1г,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND'), (20, 22, 'B-VOLUME')]"
брецель 70г,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
удобрение 10г joy,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME'), (14, 17, 'B-BRAND')]"
вафли 37г джумка,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 16, 'B-BRAND')]"
мороженое 80г,"[(0, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
авача икра 90г,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-VOLUME')]"
манго 100 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
батончик степ 44г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
смесь 5г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME')]"
корм мираторг 190г,"[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND'), (14, 18, 'B-VOLUME')]"
discreet прокладки 20шт,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
махеевъ 500г кетчуп,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 19, 'B-TYPE')]"
"напиток 0,45 л gorilla","[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME'), (15, 22, 'B-BRAND')]"
"хаски водка 40% 0,5Л","[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE'), (12, 15, 'B-PERCENT'), (16, 20, 'B-VOLUME')]"
фасоль фрау марта 310Г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 17, 'I-BRAND'), (18, 22, 'B-VOLUME')]"
"вино 10,0% lago 0,75л","[(0, 4, 'B-TYPE'), (5, 10, 'B-PERCENT'), (11, 15, 'B-BRAND'), (16, 21, 'B-VOLUME')]"
оружие 500мл,"[(0, 6, 'B-TYPE'), (7, 12, 'B-VOLUME')]"
ачим 5г морская капуста сушеная,"[(0, 4, 'B-BRAND'), (5, 7, 'B-VOLUME'), (8, 15, 'B-TYPE'), (16, 23, 'I-TYPE'), (24, 31, 'I-TYPE')]"
декор 35 Л,"[(0, 5, 'B-TYPE'), (6, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
"миска 0,8 л","[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
жидкость febi 1л,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND'), (14, 16, 'B-VOLUME')]"
виталфарм спринцовка 35МЛ,"[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE'), (21, 25, 'B-VOLUME')]"
малина 320г bifrut,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
ряженка 500г 4%,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 15, 'B-PERCENT')]"
londacolor 60 мл,"[(0, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 16, 'I-VOLUME')]"
балтийский берег 500г сельдь,"[(0, 10, 'B-BRAND'), (11, 16, 'I-BRAND'), (17, 21, 'B-VOLUME'), (22, 28, 'B-TYPE')]"
батончик капитан сильвер 50г,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND'), (17, 24, 'I-BRAND'), (25, 28, 'B-VOLUME')]"
наполнитель 5л лаурон,"[(0, 11, 'B-TYPE'), (12, 14, 'B-VOLUME'), (15, 21, 'B-BRAND')]"
лель 1 л вода,"[(0, 4, 'B-BRAND'), (5, 6, 'B-VOLUME'), (7, 8, 'I-VOLUME'), (9, 13, 'B-TYPE')]"
маска 23мл skinlite,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 19, 'B-BRAND')]"
гамма 20 мл гуашь,"[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 17, 'B-TYPE')]"
"капуста 0,8кг","[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME')]"
tic tac 16 г,"[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
контейнеры 12ШТ,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
кашка минутка 43г,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 17, 'B-VOLUME')]"
сыр 100 г,"[(0, 3, 'B-TYPE'), (4, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]"
воронцовские сухарики 60г,"[(0, 12, 'B-BRAND'), (13, 21, 'B-TYPE'), (22, 25, 'B-VOLUME')]"
"полинадим 0,1% капли 10МЛ","[(0, 9, 'B-BRAND'), (10, 14, 'B-PERCENT'), (15, 20, 'B-TYPE'), (21, 25, 'B-VOLUME')]"
клей tytan 840 мл,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
йогурт 5% 250Г слобода,"[(0, 6, 'B-TYPE'), (7, 9, 'B-PERCENT'), (10, 14, 'B-VOLUME'), (15, 22, 'B-BRAND')]"
чипсы lays 150г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND'), (11, 15, 'B-VOLUME')]"
"белый медведь 1,3Л пиво","[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-VOLUME'), (19, 23, 'B-TYPE')]"
соус стебель бамбука 280г,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 20, 'I-BRAND'), (21, 25, 'B-VOLUME')]"
лагман 450 г городок,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 20, 'B-BRAND')]"
майонез 400мл 67% ricco,"[(0, 7, 'B-TYPE'), (8, 13, 'B-VOLUME'), (14, 17, 'B-PERCENT'), (18, 23, 'B-BRAND')]"
колбаса 500г велком,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 19, 'B-BRAND')]"
пончик 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
"корм 2,5 кг monge","[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 17, 'B-BRAND')]"
"архыз 0,5л вода","[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 15, 'B-TYPE')]"
страна вкуса снек 70г,"[(0, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 17, 'B-TYPE'), (18, 21, 'B-VOLUME')]"
морс 1л,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME')]"
сельдь 115г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"йогурт 0,33 л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]"
рулетики 160 г яшкино,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 14, 'I-VOLUME'), (15, 21, 'B-BRAND')]"
блокнот 32л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
"здоровое меню напиток 0,25Л","[(0, 8, 'B-BRAND'), (9, 13, 'I-BRAND'), (14, 21, 'B-TYPE'), (22, 27, 'B-VOLUME')]"
геркулес 60г суп,"[(0, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 16, 'B-TYPE')]"
stayer 100шт клинья,"[(0, 6, 'B-BRAND'), (7, 12, 'B-VOLUME'), (13, 19, 'B-TYPE')]"
савушкин 5% 350г творог,"[(0, 8, 'B-BRAND'), (9, 11, 'B-PERCENT'), (12, 16, 'B-VOLUME'), (17, 23, 'B-TYPE')]"
сигареты marlboro 20шт,"[(0, 8, 'B-TYPE'), (9, 17, 'B-BRAND'), (18, 22, 'B-VOLUME')]"
планшет 50% искушение,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 21, 'B-BRAND')]"
агромастер 700г крупа,"[(0, 10, 'B-BRAND'), (11, 15, 'B-VOLUME'), (16, 21, 'B-TYPE')]"
семена 170г,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
карандаш 72шт hatber,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME'), (14, 20, 'B-BRAND')]"
alpen gold 90г шоколад,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
добрый сок 100% 2л,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE'), (11, 15, 'B-PERCENT'), (16, 18, 'B-VOLUME')]"
valio йогурт 330г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 17, 'B-VOLUME')]"
"молоко 2,5% 900л белый медведь","[(0, 6, 'B-TYPE'), (7, 11, 'B-PERCENT'), (12, 16, 'B-VOLUME'), (17, 22, 'B-BRAND'), (23, 30, 'I-BRAND')]"
топинг 300г махеев,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
шоколад бабаевский 165г,"[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND'), (19, 23, 'B-VOLUME')]"
snickers 81Г шоколад,"[(0, 8, 'B-BRAND'), (9, 12, 'B-VOLUME'), (13, 20, 'B-TYPE')]"
спартак шоколад 90г,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 19, 'B-VOLUME')]"
premial 15шт салфетки,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 21, 'B-TYPE')]"
ремкомплект 1г,"[(0, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
метоклопрамид ампулы 2мл,"[(0, 13, 'B-BRAND'), (14, 20, 'B-TYPE'), (21, 24, 'B-VOLUME')]"
пирог 120 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"оболонь пиво 1,35л 4,5%","[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 18, 'B-VOLUME'), (19, 23, 'B-PERCENT')]"
forsite печенье 220Г,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE'), (16, 20, 'B-VOLUME')]"
макфа макароны 250 г,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
"вода 0,33 л агуша","[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 17, 'B-BRAND')]"
spaten 0.5 мл,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
драже 37г mentos,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 16, 'B-BRAND')]"
хлебцы 30 г jr korner,"[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 14, 'B-BRAND'), (15, 21, 'I-BRAND')]"
герметик 280 мл soudal,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME'), (13, 15, 'I-VOLUME'), (16, 22, 'B-BRAND')]"
крем human being 50 мл,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 16, 'I-BRAND'), (17, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]"
сверло 3шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
любятово подушечки 175г,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE'), (19, 23, 'B-VOLUME')]"
"жевательная резинка wrigley's 31,2г","[(0, 11, 'B-TYPE'), (12, 19, 'I-TYPE'), (20, 29, 'B-BRAND'), (30, 35, 'B-VOLUME')]"
томат 600Г,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
"ессентуки 1,5л вода","[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME'), (15, 19, 'B-TYPE')]"
черкизово 400г сервелат,"[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME'), (15, 23, 'B-TYPE')]"
mobil 4 л масло,"[(0, 5, 'B-BRAND'), (6, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME'), (10, 15, 'B-TYPE')]"
пиво 1л lowenbrau,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME'), (8, 17, 'B-BRAND')]"
капель порошок 400 г,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 18, 'B-VOLUME'), (19, 20, 'I-VOLUME')]"
"джинсы 34, шт","[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 13, 'I-VOLUME')]"
lm смазка 7574 шт,"[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE'), (10, 14, 'B-VOLUME'), (15, 17, 'I-VOLUME')]"
прихлоп слайм 1 шт,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE'), (14, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]"
"молоко 3,2% 1л первый вкус","[(0, 6, 'B-TYPE'), (7, 11, 'B-PERCENT'), (12, 14, 'B-VOLUME'), (15, 21, 'B-BRAND'), (22, 26, 'I-BRAND')]"
maggi бульон 10г,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 16, 'B-VOLUME')]"
cesar корм 20%,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE'), (11, 14, 'B-PERCENT')]"
ручка 5 шт,"[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 10, 'I-VOLUME')]"
увелка 80г горох,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 16, 'B-TYPE')]"
"burn 0,449л напиток","[(0, 4, 'B-BRAND'), (5, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
мячи 6 шт,"[(0, 4, 'B-TYPE'), (5, 6, 'B-VOLUME'), (7, 9, 'I-VOLUME')]"
вафли 170г сладонеж,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 19, 'B-BRAND')]"
"сок любимый 1,93л","[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND'), (12, 17, 'B-VOLUME')]"
соль 1кг,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME')]"
тан 1% томское молоко 900мл,"[(0, 3, 'B-TYPE'), (4, 6, 'B-PERCENT'), (7, 14, 'B-BRAND'), (15, 21, 'I-BRAND'), (22, 27, 'B-VOLUME')]"
rich 1Л нектар,"[(0, 4, 'B-BRAND'), (5, 7, 'B-VOLUME'), (8, 14, 'B-TYPE')]"
масло nissan 1л,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 15, 'B-VOLUME')]"
карты 54шт,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME')]"
яблоки 1 кг,"[(0, 6, 'B-TYPE'), (7, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME')]"
косметика 30088 шт,"[(0, 9, 'B-TYPE'), (10, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]"
хлебопек хлеб 400г,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 18, 'B-VOLUME')]"
мармелад 200г,"[(0, 8, 'B-TYPE'), (9, 13, 'B-VOLUME')]"
простоквашино сырок 40 г,"[(0, 13, 'B-BRAND'), (14, 19, 'B-TYPE'), (20, 22, 'B-VOLUME'), (23, 24, 'I-VOLUME')]"
гвозди 1кг,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
5 морей 160г шпроты,"[(0, 1, 'B-BRAND'), (2, 7, 'I-BRAND'), (8, 12, 'B-VOLUME'), (13, 19, 'B-TYPE')]"
тархун до встречи 1.5л,"[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND'), (10, 17, 'I-BRAND'), (18, 22, 'B-VOLUME')]"
даниссимо 105г,"[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME')]"
"энергетический напиток 0,5 л drive me","[(0, 14, 'B-TYPE'), (15, 22, 'I-TYPE'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME'), (29, 34, 'B-BRAND'), (35, 37, 'I-BRAND')]"
lays 150 г,"[(0, 4, 'B-BRAND'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]"
canon картридж 1 г,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME')]"
краска deluxe 60 мл,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME')]"
бибер 100 г,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]"
"el fresco 0,5л лимонад","[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 14, 'B-VOLUME'), (15, 22, 'B-TYPE')]"
"растишка коктейль 210г 2,5%","[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE'), (18, 22, 'B-VOLUME'), (23, 27, 'B-PERCENT')]"
"mars 40,5г батончик","[(0, 4, 'B-BRAND'), (5, 10, 'B-VOLUME'), (11, 19, 'B-TYPE')]"
